Map Time: 315.45 sec
Reduce Time: 1.45 sec
Season	Position	Three Attempts	Three Made	Two Attempts	Two Made
2004	C	559	150	26504	12807
2004	F	12610	4438	67355	31361
2004	G	22324	7734	60451	26765
2005	C	785	253	28471	14185
2005	F	14545	5238	70399	33280
2005	G	23418	8286	60008	27193
2006	C	301	64	26060	13193
2006	F	14738	5208	66285	32124
2006	G	24274	8814	62656	28763
2007	C	945	305	30781	15964
2007	F	15343	5522	60912	29683
2007	G	25383	9099	62708	29287
2008	C	1520	500	32918	16741
2008	F	16109	5804	61111	29815
2008	G	26915	9820	61928	28989
2009	C	1080	368	32105	16762
2009	F	17819	6551	62982	30595
2009	G	25660	9425	59384	27601
2010	C	1462	481	31042	16257
2010	F	16883	5893	64052	31660
2010	G	26254	9438	61273	28991
2011	C	588	176	32398	16547
2011	F	16867	6045	62357	30820
2011	G	26829	9654	60722	28371
2012	C	442	114	22834	11566
2012	F	13565	4660	52398	25194
2012	G	22368	7908	49598	22765
2013	C	485	118	32577	16710
2013	F	19417	6927	62229	30197
2013	G	28981	10498	57491	26653
2013	nan	154	53	245	119
2014	C	1270	417	28462	14848
2014	F	20776	7400	63984	31734
2014	G	30776	11194	58494	27027
2014	nan	106	30	258	116
2015	C	1020	331	31231	16187
2015	F	20947	7307	56405	27804
2015	G	33114	11643	62719	28962
2015	nan	36	11	78	34
2016	C	1660	544	32310	17051
2016	F	24596	8612	55265	27442
2016	G	32829	11749	61233	28619
2017	C	4178	1477	32694	18015
2017	F	25833	9005	52473	26537
2017	G	36226	13195	58525	27761
2018	C	4941	1715	32976	18449
2018	F	26793	9693	46853	23957
2018	G	39366	14308	60294	29085
2018	nan	239	91	245	137
2019	C	5205	1732	32860	18950
2019	F	28809	10207	43761	22900
2019	G	44436	15918	63701	31032
2019	nan	292	98	394	225
2020	C	6224	2099	24077	14158
2020	F	29733	10713	42104	22046
2020	G	36134	13001	49486	24394
2020	nan	161	49	197	90
2021	C	5604	1954	25133	14885
2021	F	27689	10117	38655	20561
2021	G	41033	15163	51938	25901
2021	nan	496	193	435	246
2022	C	7302	2539	28155	16830
2022	F	31725	11112	47207	25339
2022	G	47043	16794	54498	26996
2022	nan	465	153	327	167
2023	C	6112	2138	28355	17443
2023	F	31931	11382	45806	25187
2023	G	45583	16636	58002	29767
2023	nan	538	203	893	504
2024	C	6447	2238	28136	16955
2024	F	36122	13091	51317	28063
2024	G	43130	16014	52285	26829
2024	nan	656	236	608	313
