Player,x,y,prediction
Precious Achiuwa,-1625.475853255737,-23.06359140324247,1
Bam Adebayo,-2417.214605528748,3.491198529047745,3
Ochai Agbaji,-1642.5203249196295,-29.287226897587658,1
Santi Aldama,-1619.1609091265614,-9.643738806276877,1
Nickeil Alexander-Walker,-1922.5984490454973,-22.853815769175753,1
Grayson Allen,-2514.2155643505303,-4.026060663646612,3
Jarrett Allen,-2443.351661845869,-3.8471034349866193,3
Timmy Allen,-125.09598180458286,0.737659269800809,2
Jose Alvarado,-1029.2496580134512,-17.48081852533774,0
Kyle Anderson,-1783.6159232754276,-19.259573872554142,1
Giannis Antetokounmpo,-2568.3635442619884,14.150806158156403,3
Thanasis Antetokounmpo,-155.91376813674393,-20.0155848565358,2
Cole Anthony,-1818.6579281790923,-19.635414394027844,1
OG Anunoby,-1702.821850465935,0.18012836122583847,1
Ryan Arcidiacono,-45.53599660326552,-13.301188519595685,2
Deni Avdija,-2258.3195708445623,-6.328674878991652,3
Deandre Ayton,-1784.9609587905427,-0.23820075274147312,1
Udoka Azubuike,-113.45955199169609,-6.207918756856752,2
Ibou Badji,-226.53881621554143,-10.188317482612273,2
Marvin Bagley III,-1054.0864491642503,-11.708769162944066,0
Amari Bailey,-65.33806245715765,2.782131685498921,2
Patrick Baldwin Jr.,-493.91425671081566,-16.304468549579656,4
LaMelo Ball,-711.634640513305,21.25018506077951,4
Mo Bamba,-741.3534657366997,-26.950254648746682,4
Paolo Banchero,-2800.3190966252732,6.0414356932859095,3
Desmond Bane,-1443.8350830400127,12.502112873297305,0
Dalano Banton,-1048.2156049172447,-11.925519168526547,0
Dominick Barlow,-420.8381394759688,-11.29935467363262,4
Harrison Barnes,-2382.406698088965,-15.808647407753776,3
Scottie Barnes,-2095.055141258603,8.853653996196531,1
RJ Barrett,-1839.0431294064015,1.2427264119837536,1
Charles Bassey,-205.56742559511207,-2.2652111026038955,2
Emoni Bates,-133.41133146322002,-3.5354093481305373,2
Keita Bates-Diop,-666.2633488731049,-26.309070570684273,4
Nicolas Batum,-1530.1370445720263,-14.244822881563476,1
Darius Bazley,-152.28325893471512,1.894773431130646,2
Bradley Beal,-1767.9568676296376,5.293124055376424,1
Malik Beasley,-2338.331453479568,-14.379528648899182,3
MarJon Beauchamp,-609.1342444225726,-23.41961540504211,4
Jules Bernard,-149.59155742206315,-2.157034789490764,2
Dāvis Bertāns,-675.0095423552589,-16.36871046820197,4
Patrick Beverley,-1463.5469918716378,-23.14350530621647,0
Saddiq Bey,-2063.0189609670356,-4.72563676980774,1
Goga Bitadze,-958.4353124021031,-25.101293843564754,0
Onuralp Bitim,-268.56979305640857,-9.31141604589265,2
Bismack Biyombo,-791.8541282109567,-12.34495025188766,4
Anthony Black,-1165.4818845732148,-29.880936492019995,0
Leaky Black,-284.68855152318946,-9.693948920151254,2
Buddy Boeheim,-84.32690060438937,-0.6403103663318637,2
Bogdan Bogdanović,-2402.381074565304,-7.407287098842556,3
Bojan Bogdanović,-1479.105848828326,-9.216335514727945,0
Bol Bol,-470.10949922868843,-19.681620293169004,4
Marques Bolden,-121.3446431293813,-0.9071383276195173,2
Devin Booker,-2448.1962622608658,12.362726774549868,3
Brandon Boston Jr.,-345.79488927304277,-13.553777196995803,4
Chris Boucher,-706.188693867546,-21.85122035565395,4
James Bouknight,-81.5209574566257,1.4580811650031378,2
Jamaree Bouyea,-95.26127590209745,1.8360556305655265,2
Malaki Branham,-1595.4951982740577,-23.705327684837354,1
Christian Braun,-1656.6774540684312,-29.592138742762693,1
Mikal Bridges,-2855.295831613408,0.43893580152785083,3
Miles Bridges,-2582.041680921866,5.869838996688117,3
Oshae Brissett,-631.3320719774645,-27.795673837808103,4
Izaiah Brockington,-3.207617491721988,18.634529005111453,2
Malcolm Brogdon,-1121.8657367176736,7.343817107336536,0
Armoni Brooks,-104.31937364360071,1.0335089694995818,2
Dillon Brooks,-2228.180845360319,-9.84716323376041,3
Bruce Brown,-1867.207371383324,-10.868019023095405,1
Charlie Brown Jr.,-37.1784369746735,-5.501029590208354,2
Greg Brown III,-40.253612129473154,5.436727668931003,2
Jaylen Brown,-2344.2013840445925,2.2509672834940173,3
Kendall Brown,-63.441803731906255,-5.632197039928122,2
Kobe Brown,-395.09187566259357,-25.15132720446137,4
Moses Brown,-200.59799144133348,-7.3515594621626095,2
Troy Brown Jr.,-828.3541037369363,-27.740108066405885,4
Jalen Brunson,-2727.371034631994,12.323963788700901,3
Thomas Bryant,-441.9944532461677,-14.378349176260837,4
Kobe Bufkin,-196.51517881106855,1.3462767828107762,2
Reggie Bullock,-418.08946219371495,-26.013061053609242,4
Alec Burks,-1213.4499589596878,-22.58059224242764,0
Jared Butler,-567.0444329129912,-7.228989719012728,4
Jimmy Butler,-2043.1045352963354,7.063200207084356,1
Jamal Cain,-259.6889256842494,-10.719768612402945,2
Kentavious Caldwell-Pope,-2403.2392978680527,-9.633012300795482,3
Toumani Camara,-1740.2935450505538,-18.971408562961418,1
Clint Capela,-1884.3940631680416,-15.334771773643615,1
Jevon Carter,-1005.6423501175672,-34.30469753148555,0
Wendell Carter Jr.,-1407.087914007464,-9.26965802858974,0
D.J. Carton,-36.177289479298416,4.42346105992134,2
Alex Caruso,-2041.2955010858948,-8.940708087078198,1
Colin Castleton,-59.486046398730004,-5.8391920054686475,2
Julian Champagnie,-1469.51941115016,-27.37783631376972,0
Justin Champagnie,-235.43219739233055,0.9713676188667785,2
Max Christie,-945.5060721470434,-33.38583074695228,0
Sidy Cissoko,-141.3595774155489,-0.31753967554568735,2
Brandon Clarke,-134.27757478961246,9.350624539664086,2
Jordan Clarkson,-1683.0120715021199,1.8572480266208926,1
Nic Claxton,-2117.2620662701015,-8.17795170416622,1
Noah Clowney,-370.5806551281986,-5.0283397147316045,4
Amir Coffey,-1461.4085435443635,-25.38406008898812,0
John Collins,-1902.2447498008944,-10.859709203904739,1
Zach Collins,-1527.4253774094714,-15.926952159608243,1
Mike Conley,-2194.442908236043,-5.414554427778108,3
Pat Connaughton,-1677.5050525390095,-24.743653540121155,1
Bilal Coulibaly,-1716.1069689331168,-13.308878441428384,1
Ricky Council IV,-289.90271302055817,-11.69263347266699,2
Robert Covington,-488.70640054061585,-8.805567465969892,4
Torrey Craig,-1050.1185257420768,-18.431275213043094,0
Jae Crowder,-1156.989832301652,-14.243842785603286,0
Jalen Crutcher,-2.934816495766039,-2.6053553802341414,2
Cade Cunningham,-2075.1391253463303,10.74216282242286,1
Seth Curry,-617.0481034284525,-18.312235449624197,4
Stephen Curry,-2422.355861604428,4.645518197609536,3
Dyson Daniels,-1359.2434654224328,-15.887542661260104,0
Anthony Davis,-2701.286347312127,5.885609943995608,3
Johnny Davis,-614.1488081909723,-26.749244664950858,4
JD Davison,-39.43216238644161,12.023291297738167,2
Dexter Dennis,-30.339006195538865,15.817871245116399,2
DeMar DeRozan,-2990.2394578276558,9.371908279960058,3
Moussa Diabaté,-64.42589253286255,3.1731514715725977,2
Mamadi Diakite,-24.322357022913515,6.578343618232408,2
Hamidou Diallo,-5.322920693522031,20.51398701354867,2
Gradey Dick,-1269.1991638472648,-19.773888680754595,0
Ousmane Dieng,-365.8517026318844,-12.504140801734156,4
Spencer Dinwiddie,-2153.3835094058145,-9.531757419609194,1
Donte DiVincenzo,-2361.466176774214,-9.946458078283596,3
Luka Dončić,-2625.3040765641977,22.39560505453898,3
Luguentz Dort,-2247.3677174219247,-15.924779102896673,3
Ayo Dosunmu,-2213.3442508401918,-10.056735679139697,3
Jeff Dowtin,-142.47282986738864,7.119098507198581,2
Henri Drell,-30.22239595428186,8.34817567972873,2
Andre Drummond,-1352.755063505762,-31.522333391956405,0
Chris Duarte,-720.3840839178944,-30.772239833034565,4
David Duke Jr.,-51.25049947616512,9.19321906341512,2
Kris Dunn,-1250.4605395685653,-18.625226493506563,0
Kevin Durant,-2792.230062921728,10.197416130166008,3
Jalen Duren,-1778.123615879561,-4.988045029001732,1
Tari Eason,-480.5527198971158,0.8116536445999677,4
Anthony Edwards,-2771.3327288874666,7.324878243358305,3
Kessler Edwards,-276.4280365899925,-35.552900954445924,2
Keon Ellis,-979.2712123238283,-21.876564695427497,0
Joel Embiid,-1309.949417799697,19.865236040974533,0
Drew Eubanks,-1170.6639308167246,-34.73608237233751,0
Tosan Evbuomwan,-367.3919122700297,-1.8740212041633428,4
Dante Exum,-1089.2191533473288,-14.26558218069365,0
Bruno Fernando,-683.0607257965172,-16.75920630999931,4
Dorian Finney-Smith,-1935.1835011133967,-13.01550480437827,1
Adam Flagler,-14.186957539190761,13.388337232574067,2
Malachi Flynn,-877.6600763208402,-30.082271299825216,0
Simone Fontecchio,-1645.2617753568372,-15.77167174485596,1
Jordan Ford,-22.319127581187423,6.027583491918414,2
Trent Forrest,-414.99278241722,-12.647540533020516,4
Evan Fournier,-580.7434542231031,-7.601496228606745,4
De'Aaron Fox,-2660.2383093556737,9.253120710399681,3
Javon Freeman-Liberty,-403.54665312251626,-1.634781998906736,4
Alex Fudge,-40.19943715197104,0.6547639066627955,2
Markelle Fultz,-910.9527467604701,-6.696151214573301,0
Andrew Funk,-13.099816378298568,-3.8532069599139414,2
Wenyen Gabriel,-81.12760135288042,1.9682863332200335,2
Daniel Gafford,-1816.4637397680447,-17.306015457823527,1
Danilo Gallinari,-631.2083211125616,-20.887251589875497,4
Darius Garland,-1902.0185967928126,6.877191338201619,1
Usman Garuba,-18.193450915741675,1.906904052701109,2
Luka Garza,-122.77983891014684,-7.017758765998994,2
Kaiser Gates,-6.938849591569064,-1.0138063896908227,2
Keyonte George,-2024.3843203586114,-10.39047950837232,1
Paul George,-2503.2697449972093,1.8961404279979224,3
Taj Gibson,-204.51874923373302,-9.060141349040125,2
Josh Giddey,-2012.593329782882,-11.790939473649686,1
Harry Giles,-100.7083237065843,-6.958570147148576,2
Shai Gilgeous-Alexander,-2554.412857333765,10.730768123414824,3
Anthony Gill,-467.26448301468736,-26.103829702184182,4
Collin Gillespie,-225.6801553634718,-6.527240786106063,2
Jacob Gilyard,-699.9864944213332,-8.816235251860988,4
Rudy Gobert,-2594.226860398506,-3.7426363951251727,3
Jordan Goodwin,-1056.2774341960148,-15.43542883175455,0
Aaron Gordon,-2298.2658232090153,-4.442084210905181,3
