Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Timmy Allen,Apr 6 '24 MEM vs. PHI,24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,0.261,0,0.5,25,2.6,3.4,1,0.8,0,allenti01
2,Ibou Badji,Dec 26 '23 POR vs. SAC,21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,0.636,,0.5,10.3,1.5,2.3,0.6,0.1,0.9,badjiib01
3,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,0.333,0.125,0.857,6.5,2.3,0.9,0.7,0.3,0,baileam01
4,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,15,133,15,49,10,33,1,4,1,14,10,1,2,8,5,41,0.306,0.303,0.25,8.9,2.7,0.9,0.7,0.1,0.1,batesem01
5,Jules Bernard,Dec 8 '23 WAS @ BRK,24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,0.453,0.379,0.556,7.8,3.9,1.4,0.8,0.2,0.1,bernaju01
6,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,0.381,0.273,0.8,11.7,3.5,1.4,0.6,0.1,0.1,bitimon01
7,Anthony Black,Oct 25 '23 ORL vs. HOU,20,2,72,1238,127,270,39,98,53,87,37,149,103,35,24,60,118,346,0.47,0.398,0.609,17.2,4.8,2.1,1.4,0.5,0.3,blackan01
8,Leaky Black,Nov 8 '23 CHO vs. WAS,24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,0.481,0.45,0.667,10.9,2.7,1.8,0.9,0.3,0.4,blackle01
9,Izaiah Brockington,Mar 5 '24 NOP @ TOR,24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,0.4,0,,3,4,2,0,0,0,brockiz01
10,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,0.411,0.292,0.5,9,2,1.4,0.6,0.3,0.1,brownko01
11,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,17,196,34,92,9,40,4,8,6,33,27,7,5,10,20,81,0.37,0.225,0.5,11.5,4.8,1.9,1.6,0.4,0.3,bufkiko01
